City,Year,CVI,Rank
Vishakhapatnam,2021,0.2706677937447168,1.0
Bhopal,2021,0.23956043956043954,2.0
Gwalior,2021,0.2389898562975486,3.0
Vijayawada,2021,0.22711327134404058,4.0
Faridabad,2021,0.22309805579036346,5.0
Jodhpur,2021,0.16969568892645814,6.0
Agra,2021,0.16842772612003382,7.0
Jabalpur,2021,0.15325443786982249,8.0
Kota,2021,0.15128909551986475,9.0
Vasai Virar,2021,0.14887996618765847,10.0
Varanasi,2021,0.12153423499577345,11.0
Aurangabad,2021,0.12001267962806425,12.0
Thrissur,2021,0.1099746407438715,13.0
Asansol,2021,0.10953085376162298,14.0
Meerut,2021,0.10124683009298394,15.0
Durg-Bhilainagar,2021,0.0978021978021978,16.0
Raipur,2021,0.09737954353338968,17.0
Kollam,2021,0.09609044801352493,18.0
Ludhiana,2021,0.0848901098901099,19.0
Thiruvananthapuram,2021,0.07840236686390532,20.0
Nasik,2021,0.07371090448013524,21.0
Prayagraj,2021,0.06751901944209636,22.0
Malappuram,2021,0.0658495350803043,23.0
Kannur,2021,0.06215131022823331,24.0
Chandigarh City,2021,0.059256128486897715,25.0
Dhanbad,2021,0.05475486052409129,26.0
Jamshedpur,2021,0.05382502113271344,27.0
Srinagar,2021,0.05175401521555367,28.0
Madurai,2021,0.046576500422654266,29.0
Amritsar,2021,0.046386306001690615,30.0
Rajkot,2021,0.04395604395604396,31.0
Ranchi,2021,0.04385038038884193,32.0
Vadodara,2021,0.04211749788672865,33.0
Tiruchirapalli,2021,0.019716821639898564,34.0
Vijayawada,2022,0.36565934065934064,1.0
Bhopal,2022,0.3504015215553677,2.0
Jodhpur,2022,0.22396449704142013,3.0
Gwalior,2022,0.22242180896027047,4.0
Faridabad,2022,0.21331360946745562,5.0
Vasai Virar,2022,0.20016906170752324,6.0
Vishakhapatnam,2022,0.19296280642434488,7.0
Jabalpur,2022,0.18440405748098057,8.0
Kota,2022,0.1795012679628064,9.0
Raipur,2022,0.14410397295012678,10.0
Thrissur,2022,0.13634826711749787,11.0
Aurangabad,2022,0.13142434488588337,12.0
Meerut,2022,0.1301141166525782,13.0
Agra,2022,0.12916314454775993,14.0
Kollam,2022,0.12582417582417582,15.0
Nasik,2022,0.1052197802197802,16.0
Durg-Bhilainagar,2022,0.10439560439560439,17.0
Ludhiana,2022,0.09754860524091293,18.0
Thiruvananthapuram,2022,0.09554099746407438,19.0
Varanasi,2022,0.0893702451394759,20.0
Prayagraj,2022,0.07671174978867286,21.0
Malappuram,2022,0.06536348267117498,22.0
Srinagar,2022,0.06403212172442942,23.0
Asansol,2022,0.06386306001690617,24.0
Rajkot,2022,0.06022823330515638,25.0
Chandigarh City,2022,0.05896027049873204,26.0
Kannur,2022,0.05680473372781065,27.0
Ranchi,2022,0.05023245984784446,28.0
Madurai,2022,0.0492603550295858,29.0
Dhanbad,2022,0.04712595097210482,30.0
Jamshedpur,2022,0.046661031276415896,31.0
Vadodara,2022,0.038778529163144546,32.0
Amritsar,2022,0.037637362637362635,33.0
Tiruchirapalli,2022,0.020984784446322905,34.0
Bhopal,2023,0.32933220625528314,1.0
Vijayawada,2023,0.3180473372781065,2.0
Faridabad,2023,0.24549873203719358,3.0
Gwalior,2023,0.23810228233305158,4.0
Jodhpur,2023,0.22373203719357565,5.0
Vasai Virar,2023,0.2067413355874894,6.0
Kota,2023,0.17299239222316146,7.0
Aurangabad,2023,0.1544167371090448,8.0
Agra,2023,0.14788672865595942,9.0
Jabalpur,2023,0.14473795435333897,10.0
Vishakhapatnam,2023,0.14137785291631447,11.0
Thrissur,2023,0.1371301775147929,12.0
Raipur,2023,0.1282755705832629,13.0
Nasik,2023,0.12550718512256975,14.0
Thiruvananthapuram,2023,0.1165469146238377,15.0
Varanasi,2023,0.10902366863905326,16.0
Kollam,2023,0.1080515638207946,17.0
Asansol,2023,0.09807692307692306,18.0
Durg-Bhilainagar,2023,0.0915469146238377,19.0
Meerut,2023,0.08890532544378697,20.0
Prayagraj,2023,0.0883136094674556,21.0
Ludhiana,2023,0.07307692307692307,22.0
Rajkot,2023,0.07024513947590871,23.0
Chandigarh City,2023,0.06882924767540152,24.0
Kannur,2023,0.06622992392223162,25.0
Malappuram,2023,0.06601859678782755,26.0
Srinagar,2023,0.058051563820794586,27.0
Ranchi,2023,0.05646661031276416,28.0
Vadodara,2023,0.05452240067624682,29.0
Amritsar,2023,0.04883770076077769,30.0
Dhanbad,2023,0.04782333051563821,31.0
Madurai,2023,0.04241335587489434,32.0
Jamshedpur,2023,0.03827134404057481,33.0
Tiruchirapalli,2023,0.025718512256973795,34.0
