City,CVI_Overall,Rank
Bhopal,0.3064313891236968,1.0
Vijayawada,0.3036066497604959,2.0
Gwalior,0.23317131586362358,3.0
Faridabad,0.22730346576500424,4.0
Jodhpur,0.20579740772048463,5.0
Vishakhapatnam,0.20166948436179202,6.0
Vasai Virar,0.18526345449422368,7.0
Kota,0.16792758523527754,8.0
Jabalpur,0.16079881656804734,9.0
Agra,0.14849253310791774,10.0
Aurangabad,0.13528458720766415,11.0
Thrissur,0.12781769512538743,12.0
Raipur,0.12325302902225978,13.0
Kollam,0.10998872921949844,14.0
Meerut,0.10675542406311637,15.0
Varanasi,0.10664271625810089,16.0
Nasik,0.1014792899408284,17.0
Durg-Bhilainagar,0.09791490560721329,18.0
Thiruvananthapuram,0.09683009298393913,19.0
Asansol,0.0904902789518174,20.0
Ludhiana,0.08517187940264863,21.0
Prayagraj,0.07751479289940827,22.0
Malappuram,0.06574387151310228,23.0
Chandigarh City,0.06234854888701042,24.0
Kannur,0.06172865595942519,25.0
Rajkot,0.058143138912369684,26.0
Srinagar,0.05794590025359256,27.0
Ranchi,0.05018315018315019,28.0
Dhanbad,0.049901380670611444,29.0
Jamshedpur,0.046252465483234716,30.0
Madurai,0.04608340377571146,31.0
Vadodara,0.04513947590870667,32.0
Amritsar,0.044287123133276984,33.0
Tiruchirapalli,0.022140039447731755,34.0
