feature,importance
total_crimes_rolling_mean_3y,0.5911714881599139
total_crimes_rolling_mean_2y,0.3100109861235208
total_crimes_yoy_change,0.06110949681954048
group_proportion,0.03121598080178107
total_crimes_rolling_std_2y,0.004815004039212658
total_crimes_rolling_std_3y,0.0011369496549921026
crimes_per_district,0.00010388756269730343
district_total_crimes,0.0001003957643213359
total_crimes_lag_1,3.4798659429181915e-05
total_crimes_prev_year,2.2052130594969634e-05
crime_trend,1.9397297622080946e-05
assault_on_womenabove_18,1.8292807104561445e-05
other_ipc_crimes,1.3691113519731474e-05
total_crimes_lag_2,1.308588321068432e-05
total_crimes_lag_3,1.1679759801609881e-05
state_total_crimes,1.1417183945451738e-05
id,1.1346647726087526e-05
district_name,1.0535894719400173e-05
violent_crimes_yoy_change,1.0168967815423057e-05
sec_8_10_pocso_act_girls,8.276872761486632e-06
registration_circles,7.696107893275091e-06
rape_women_abv_18_yrs,7.586463702422871e-06
rape_women_above_18,7.481491817921551e-06
cruelty_by_husband_or_his_relatives,6.045835433391014e-06
violent_crimes,5.713750316034897e-06
year_position,5.520460061254302e-06
child_rape,5.325249228281575e-06
state_crime_rank,5.276849721052709e-06
state_name,5.09348211406634e-06
sec_4_6_pocso_act_girls,3.94091603559127e-06
sexual_assault_of_children,3.771197055610785e-06
missing_child_kidnapped,3.6387373236382655e-06
violent_crimes_lag_3,3.617601627844779e-06
other_offences_juveniles,3.431847087846027e-06
insult_to_the_modesty_of_women_above_18,3.4299440120939753e-06
violent_crimes_lag_2,3.4127800180610142e-06
violent_crimes_lag_1,3.3765897050059913e-06
kidnapping_and_abduction,3.179724743028703e-06
dowry_deaths,3.0566928778300124e-06
rape_girls_below_18,2.665821042400829e-06
kidnp_and_abductn_of_women_above_18_for_marrg,2.254439911404732e-06
violent_crimes_prev_year,2.1792356840898063e-06
kidnapping_and_abduction_of_women_others,2.1462617393319267e-06
insult_to_the_modesty_of_women_below_18,2.144281524180823e-06
other_kidnp_abductn_sec_363,2.035976598871345e-06
other_murder,1.9281946142605636e-06
sec_377_pocso_act_boys,1.9126271856061e-06
abetment_to_suicide_of_women,1.8796921424285172e-06
year_normalized,1.874791806690764e-06
procuratn_minor_girls,1.7938883161474787e-06
years_since_2017,1.782255141174046e-06
kidnp_abductn_minor_girls,1.6836017114014138e-06
attempt_to_commit_rape_above_18,1.672890775416321e-06
sec_17_22_pocso_act_girls,1.6584985162778653e-06
prohib_child_marriage,1.445662536116665e-06
abetment_suicide_of_child,1.4405559766178256e-06
dowry_prohibition,1.3541793056768923e-06
assault_women_intnt_outrage_modsty,1.33440950968888e-06
other_kidnp_abductn,1.3340069750649044e-06
simple_hurt,1.3319224929805054e-06
trend_increasing,1.1877168136907702e-06
assault_on_adult_women,1.1770015411813585e-06
pub_trns_mat_depict_child_sexul_explicit,1.0865881042564904e-06
use_of_child_for_pornography,1.033791013674514e-06
assault_on_women_below_18,1.0073608094353806e-06
other_women_centric_cyber_crimes,1.0016905698738664e-06
child_sexual_harassment,9.465751743067969e-07
procuration_of_minor_girls,8.735544077951531e-07
sec_12_pocso_act_girls,7.964380243361991e-07
miscarriage,7.686054778274469e-07
kidnapping_abduction_in_order_to_murder,7.508180297711887e-07
criminal_intimidation,6.438783966282297e-07
attempt_to_commit_rape_girls_below_18,6.199606528279232e-07
human_trafficking,5.677002485218334e-07
publshng_or_transmitting_of_sexually_explicit_mtrl,5.40809281393157e-07
grievous_hurt,5.051790064067909e-07
murder_with_rape_gang_rape,4.705632189775187e-07
rape,4.6608156624136603e-07
sec_4_6_pocso_act_boys,4.616413894436128e-07
kidnp_and_abductn_of_girls_below_18_for_marrg,4.562970285260769e-07
child_labour,4.2966781194408853e-07
rape_children_blw_18_yrs,4.1239356957096737e-07
intimidate_humiliate,3.7345059365497673e-07
exposure_and_abandonment,3.720209939506682e-07
kidnp_for_ransom,3.5280909085945127e-07
other_sections_under_itp_act,3.039078836196176e-07
protection_of_women_from_domestic_violence,3.01370713240556e-07
offences_of_pocso_act,2.8911320714134355e-07
prostitution_in_or_in_the_vicinity_of_public_places,2.8450615940936884e-07
selling_of_minor_girls,2.693941714610522e-07
attempt_to_commit_murder,2.6389232426464404e-07
sec_14_15_pocso_girls,2.3686628799266336e-07
other_sll_crimes,2.252417416097409e-07
group_encoded,2.2147235414424143e-07
atmpt_commit_murder,2.1934746857896173e-07
acid_attack,2.0579575831973394e-07
group_Women,1.9645718003103162e-07
murder_with_rape,1.913393555880365e-07
insult_modesty,1.689229145524104e-07
other_kidnapping_abduction,1.6514541611120975e-07
foeticide,1.5564009147226591e-07
kidnapping_for_ransom,1.3752422102872028e-07
procuring_inducing_children_for_the_sake_of_prostitution,1.2943914714866892e-07
group_Children,1.1989569970928493e-07
humn_traffick_children,1.0687571506145701e-07
sell_minors_prost_girls,1.0347109972858804e-07
murder,9.994138084365826e-08
pocso_act_unnatural_offences,8.213696682751762e-08
other_offences,7.801565676426889e-08
group_SC,7.55349846450038e-08
rioting,7.379761537464013e-08
import_girls_frm_frgn_cnt,7.200143550939032e-08
indecent_representation_of_women,6.784320655398992e-08
atmpt_to_commit_rape,6.349567040315116e-08
insult_to_modesty_women,5.380049621778943e-08
sexual_harassment,5.1726802902993675e-08
arson,3.874369392141034e-08
attempt_rape,3.743273993374989e-08
detaining_a_prsn_in_premises_where_prost_is_carried,3.50787288819354e-08
attempt_to_acid_attack,3.106252525393541e-08
sec_377_pocso_act_girls,2.7566708052740004e-08
offences_care_takers,2.6568723126017918e-08
kidnp_abduction_marriage,1.9439562660611752e-08
procur_induc_children_sake_prost,1.6548833676658098e-08
assault_of_children,1.5198579749890716e-08
kidnp_abductn_purpose_begging,1.2562401423001106e-08
stalking,1.1242656973664148e-08
robbery,8.578329262590436e-09
missng_children_kidnapped,6.635500463737597e-09
atmpt_disrobe,3.7151591281708285e-09
group_ST,2.915732323344644e-09
procur_minor_girls,2.394701401124542e-09
other_immoral_traffic,2.2005594658530644e-09
other_kidng_abduction,1.465814062839978e-09
kidnp_abductn_order_to_murder,1.0521322204046432e-09
seducing_or_soliciting_for_purpose_of_prostitution,9.340341185065083e-10
other_cyber_crimes_agnst_children,5.847905862343691e-10
rape_of_women,2.4753368656724075e-10
intimitate_humiliate,2.3383848030509124e-10
occupy_disposes_land_blngs_scs,3.2269393329715524e-11
detain_prsn_whr_prost_carried,0.0
protection_of_civil_rights,0.0
property_crimes_lag_1,0.0
property_crimes_lag_2,0.0
property_crimes_lag_3,0.0
kidnapping_crimes_lag_1,0.0
kidnapping_crimes_lag_2,0.0
kidnapping_crimes_lag_3,0.0
assault_of_children_pocso,0.0
sec_8_10_pocso_act_boys,0.0
voyeurism,0.0
infanticide,0.0
kidnp_abduction_murder,0.0
sec_17_22_pocso_act_boys,0.0
other_grievous_hurt,0.0
buy_minors_prost_girls,0.0
buy_minors_prost_boys,0.0
sell_minors_prost_boys,0.0
occupy_land_blngs_sts,0.0
atmpt_acid_attack,0.0
buying_of_minor_girls,0.0
importation_of_girls_from_foreign,0.0
prvnt_usage_pub_place_passage,0.0
sexual_crimes_lag_3,0.0
sexual_crimes_lag_2,0.0
sexual_crimes_lag_1,0.0
kidnp_abduc_sec_365_to_369,0.0
transplantn_human_organs,0.0
kidnp_abduction_purpose_begging,0.0
dacoity_with_murder,0.0
dacoity,0.0
atmpt_rape,0.0
sexual_crimes,0.0
property_crimes,0.0
kidnapping_crimes,0.0
rape_of_children,0.0
prvnt_obstruct_usage_pub_passage,0.0
sexual_crimes_prev_year,0.0
inslt_women_modesty,0.0
sexual_crimes_yoy_change,0.0
property_crimes_prev_year,0.0
property_crimes_yoy_change,0.0
sec_14_15_pocso_boys,0.0
kidnp_marriage,0.0
sec_12_pocso_act_boys,0.0
kidnp_murder,0.0
kidnp_begging,0.0
other_kidnp_abduc,0.0
missing_children_kidnpd,0.0
frc_leave_place_res_soc_boycott,0.0
