feature,importance
total_crimes_rolling_mean_3y,0.7594347
total_crimes_rolling_mean_2y,0.16383229
total_crimes_yoy_change,0.036692996
group_proportion,0.025475558
total_crimes_rolling_std_2y,0.008765052
total_crimes_rolling_std_3y,0.0042275996
crimes_per_district,0.00013964866
total_crimes_lag_2,0.000122040285
kidnp_abductn_order_to_murder,6.079484e-05
other_offences_juveniles,5.130574e-05
missing_child_kidnapped,4.9828115e-05
sec_377_pocso_act_girls,4.368101e-05
year_position,3.908587e-05
total_crimes_prev_year,3.5670095e-05
prostitution_in_or_in_the_vicinity_of_public_places,3.1441963e-05
other_ipc_crimes,2.8979293e-05
prohib_child_marriage,2.8244454e-05
sec_4_6_pocso_act_girls,2.5368627e-05
offences_care_takers,2.4867282e-05
rape_women_abv_18_yrs,2.4104365e-05
buy_minors_prost_girls,2.0953701e-05
selling_of_minor_girls,2.042843e-05
cruelty_by_husband_or_his_relatives,1.6883809e-05
insult_to_the_modesty_of_women_below_18,1.661598e-05
total_crimes_lag_3,1.6589769e-05
year_normalized,1.6365238e-05
rape,1.5804197e-05
pub_trns_mat_depict_child_sexul_explicit,1.5488347e-05
rioting,1.5043158e-05
sexual_assault_of_children,1.4881967e-05
other_kidnp_abductn,1.4584145e-05
crime_trend,1.4411772e-05
kidnp_and_abductn_of_women_above_18_for_marrg,1.4154769e-05
kidnp_abductn_minor_girls,1.3225149e-05
use_of_child_for_pornography,1.3212628e-05
violent_crimes_prev_year,1.2882064e-05
other_women_centric_cyber_crimes,1.2855437e-05
state_total_crimes,1.2705822e-05
violent_crimes_yoy_change,1.2533918e-05
child_rape,1.2110172e-05
state_name,1.179253e-05
procuration_of_minor_girls,1.1754023e-05
pocso_act_unnatural_offences,1.1540146e-05
rape_women_above_18,1.12526195e-05
sec_12_pocso_act_girls,1.1220414e-05
protection_of_women_from_domestic_violence,1.1158814e-05
sec_12_pocso_act_boys,1.1142492e-05
rape_girls_below_18,1.1124409e-05
attempt_to_acid_attack,1.0510741e-05
sec_17_22_pocso_act_girls,1.0494956e-05
child_labour,1.048169e-05
child_sexual_harassment,1.0440427e-05
sec_4_6_pocso_act_boys,1.0268172e-05
detaining_a_prsn_in_premises_where_prost_is_carried,1.0226216e-05
violent_crimes,9.9774015e-06
assault_on_womenabove_18,9.926527e-06
assault_on_women_below_18,9.847564e-06
procur_induc_children_sake_prost,9.771283e-06
kidnapping_and_abduction,9.596116e-06
sell_minors_prost_girls,9.511313e-06
registration_circles,9.190666e-06
dowry_deaths,9.179029e-06
acid_attack,9.141101e-06
sec_8_10_pocso_act_boys,9.1199945e-06
attempt_to_commit_rape_girls_below_18,9.012378e-06
humn_traffick_children,8.923261e-06
publshng_or_transmitting_of_sexually_explicit_mtrl,8.672616e-06
state_crime_rank,8.636883e-06
kidnp_and_abductn_of_girls_below_18_for_marrg,8.547917e-06
other_kidnp_abductn_sec_363,8.451991e-06
miscarriage,8.194186e-06
indecent_representation_of_women,8.161666e-06
procuring_inducing_children_for_the_sake_of_prostitution,8.140527e-06
assault_women_intnt_outrage_modsty,8.09555e-06
attempt_to_commit_rape_above_18,8.015159e-06
insult_to_the_modesty_of_women_above_18,7.638071e-06
